lp,kol1,kol2,kol3,kol4,kol5
52,0.89256820847235163,0.054183667228191575,0.11044297880423284,0.10833928520843923,1
53,0.88840943997720045,0.086681525896011205,0.14338962543915509,0.14537364224372135,1
54,0.87643802095473766,0.17012429862943171,0.2277112746081516,0.21711052883521476,1
55,0.88360179887961354,0.18736336641576171,0.2434880416016722,0.24678476321001364,1
56,0.90651803444979184,0.055905891051947938,0.1119482884438896,0.10804944297968545,1
57,0.91162486752544725,0.093003826382569585,0.15120040601660389,0.15661017097005359,1
58,0.90278748447325119,0.1914884758133801,0.24973741404357638,0.24225574464200286,1
59,0.90486499877096382,0.20138986033758202,0.25621679031862071,0.25976408520859445,1
60,0.90364953136006088,0.052904621521949066,0.11261212064522892,0.10583729229184204,1
61,0.91188292060653131,0.093604080288569355,0.15648301437937451,0.15353784334526346,1
62,0.90277626477407358,0.19107895679339895,0.2445445632742263,0.25042181569340793,1
63,0.90577379440434669,0.2124132147795405,0.26847805156983728,0.26270925624270552,1
64,0.90658348269499434,0.057199896357093875,0.111420962582544,0.11309830760959011,1
65,0.89294780829452591,0.089424742344926061,0.14419557383007692,0.14187496605018371,1
66,0.89475230991225108,0.18827590194887039,0.23955366709007242,0.24840039989158313,1
67,0.89207828160826452,0.19851013754867344,0.25369235800366835,0.2502049015093083,1
68,0.89379302563256924,0.063720411529122584,0.11352465617833761,0.11456995815171417,1
69,0.89759463370390113,0.085170606406765659,0.14358784012462544,0.1286188914718896,1
70,0.89352562280217052,0.19030853744987275,0.2453486417152852,0.25407195782584269,1
71,0.89563305629768997,0.20861721655779739,0.26221371952902967,0.26383496606018797,1
72,0.90261731903572473,0.06260031156122893,0.11615941553520266,0.11272431763700458,1
73,0.906048677034197,0.10208056301722039,0.159416965714308,0.15915330278363518,1
74,0.9074156103839971,0.19145855661557326,0.25326039958533209,0.25247315069303955,1
75,0.90327554138747534,0.21254972111953421,0.26443335001632479,0.26587882126036788,1
76,0.89987223263694693,0.063036009879291074,0.1189886496778122,0.12274911885215971,1
77,0.90879002353324889,0.1028453725111578,0.16164781590078067,0.16658261358904675,1
78,0.90989890380196503,0.21235150643406389,0.26869683570379982,0.26464091445110977,1
79,0.89864180562714058,0.21115847842151605,0.26478116069082935,0.26479612028973276,1
80,0.90312033554885229,0.06429261618717845,0.11587331320617474,0.11263456004358405,1
81,0.90893774957242024,0.10622624186333099,0.16293808130620074,0.16515210194390709,1
82,0.91068615269425757,0.21074708945167198,0.26456050660700386,0.27513694303172265,1
83,0.905869161847356,0.23261989299833669,0.2825849533357635,0.27509206423501237,1
84,0.91780505182242311,0.071041265242484344,0.12683308935279369,0.12238073872916296,1
85,0.90455084719399192,0.10553249046418484,0.16514275219459246,0.1622648993555468,1
86,0.90622445232131221,0.20732695115237729,0.26740096044879097,0.27211510405323158,1
87,0.90165803475604289,0.22275590747139334,0.27363724324165467,0.27063784366151872,1
88,0.90517915034793561,0.08664599684861557,0.13858572424129398,0.13594909493456597,1
89,0.90580932345174225,0.10212731176379358,0.15856987842640177,0.16916875424947567,1
90,0.891627623691299,0.20122530474964437,0.25871504333549206,0.25480310822224739,1
91,0.90019012411364463,0.21704321064014936,0.26908391532542586,0.27838130604390215,1
92,0.90292586076310788,0.073591876855517657,0.13129478972573908,0.12768204659056284,1
93,0.89368456854051936,0.096373476035565203,0.14780457706552727,0.16127943577778392,1
94,0.89219234854990315,0.19030292760028397,0.24567214304157167,0.23662532560472771,1
95,0.90626746116815959,0.23221411387808139,0.28843228655713826,0.29373172446867518,1
96,0.90835619516504973,0.078051707278600099,0.1398797295464399,0.13316660953852963,1
97,0.90702853076237111,0.10771098205449554,0.1662291930649534,0.15705147913770451,1
98,0.92030704473902036,0.22371332180121228,0.2735961043446703,0.26831536593176258,1
99,0.9108263989339771,0.21976772759043495,0.27624582330043873,0.28111143284377649,1
